ablation,seed,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
minus_mode_switch_latency_guard,5,80,0.66875,0.042103,0.724213,0.041146,0.572046,0.001363,0.188931,0.003539,0.040261,0.001413,0.052074,0.002016,0.032627,0.002768,0.028479,0.001461,0.028457,0.001086,0.063675,0.004041,0.574242,0.00188,0.020124,0.001294,0.032136,0.001009,0.181431,0.000663,0.574636,0.000541,0.0,0.0
minus_mode_switch_latency_guard,6,80,0.660417,0.040027,0.715522,0.038958,0.571552,0.001342,0.189169,0.003552,0.040953,0.00143,0.051425,0.00196,0.033696,0.002835,0.027028,0.001618,0.029035,0.001223,0.064216,0.004137,0.575986,0.001761,0.019066,0.001271,0.032639,0.000953,0.181773,0.000708,0.574679,0.000575,0.0,0.0
minus_mode_switch_latency_guard,7,80,0.670833,0.045004,0.722481,0.042896,0.572479,0.001262,0.189745,0.003511,0.040607,0.001462,0.051401,0.00195,0.033366,0.002916,0.027697,0.001555,0.029418,0.001195,0.064323,0.003951,0.577045,0.002013,0.020091,0.001013,0.032156,0.000893,0.181882,0.000631,0.574695,0.000609,0.0,0.0
minus_mode_switch_latency_guard,8,80,0.670833,0.036741,0.725237,0.035155,0.571382,0.001553,0.189219,0.003457,0.041035,0.001454,0.051241,0.001897,0.033132,0.003016,0.027511,0.001404,0.029794,0.001213,0.063736,0.004025,0.576532,0.001902,0.020323,0.001135,0.032756,0.000955,0.182436,0.000602,0.574687,0.000581,0.0,0.0
minus_mode_switch_latency_guard,9,80,0.647917,0.040675,0.700132,0.038431,0.570782,0.001499,0.188983,0.00356,0.040549,0.00153,0.051213,0.001868,0.033613,0.002841,0.027351,0.001544,0.029153,0.001124,0.063076,0.004075,0.574643,0.001611,0.019907,0.001011,0.031847,0.000924,0.182548,0.000639,0.574569,0.000566,0.0,0.0
minus_energy_barrier_check,0,80,0.652083,0.04117,0.707538,0.039592,0.571474,0.001377,0.172339,0.00177,0.041318,0.001474,0.062565,0.003046,0.020912,0.00182,0.027135,0.00145,0.028668,0.001299,0.034424,0.001049,0.575275,0.001834,0.069997,0.00382,0.030403,0.000845,0.182188,0.000755,0.576573,0.000452,0.0,0.0
minus_energy_barrier_check,1,80,0.683333,0.043331,0.734874,0.040877,0.571576,0.001464,0.172814,0.001637,0.039984,0.001506,0.062687,0.003028,0.021453,0.001939,0.027287,0.00152,0.029187,0.001347,0.034844,0.001076,0.574504,0.001821,0.0695,0.004117,0.030267,0.000891,0.181565,0.000677,0.576389,0.000455,0.0,0.0
minus_energy_barrier_check,2,80,0.639583,0.049801,0.692902,0.048159,0.569988,0.00153,0.172806,0.001712,0.040758,0.001573,0.063257,0.003139,0.021797,0.00177,0.027697,0.001512,0.029599,0.001355,0.034471,0.001081,0.575283,0.001586,0.069822,0.003864,0.030996,0.000938,0.181735,0.000672,0.57631,0.000412,0.0,0.0
minus_energy_barrier_check,3,80,0.65,0.045978,0.7039,0.044188,0.570969,0.001415,0.172082,0.001652,0.040638,0.0015,0.062682,0.002851,0.020972,0.001674,0.027206,0.001424,0.029652,0.001212,0.034337,0.000911,0.574515,0.001766,0.070028,0.003927,0.030858,0.000874,0.18186,0.000682,0.576432,0.000393,0.0,0.0
minus_energy_barrier_check,4,80,0.633333,0.046634,0.687734,0.045132,0.57187,0.001503,0.171987,0.001811,0.041098,0.001663,0.063382,0.002985,0.021874,0.001716,0.028179,0.001555,0.029131,0.001171,0.034371,0.001095,0.575176,0.001723,0.070329,0.003862,0.030454,0.000861,0.182286,0.000701,0.576281,0.000399,0.0,0.0
minus_energy_barrier_check,5,80,0.65,0.044863,0.702932,0.042772,0.571062,0.00145,0.171629,0.001579,0.041115,0.001648,0.062648,0.002977,0.022548,0.001851,0.027372,0.001425,0.029444,0.001297,0.034553,0.000973,0.574327,0.00191,0.068748,0.004088,0.030588,0.000954,0.181951,0.0006,0.576185,0.000463,0.0,0.0
minus_energy_barrier_check,6,80,0.664583,0.041293,0.720022,0.03993,0.572325,0.001772,0.17181,0.001797,0.041153,0.001486,0.062968,0.00321,0.021251,0.001727,0.028011,0.001517,0.028639,0.001206,0.034082,0.000962,0.576888,0.001841,0.068423,0.003844,0.030259,0.000909,0.182069,0.000643,0.576533,0.000412,0.0,0.0
minus_energy_barrier_check,7,80,0.66875,0.040882,0.724826,0.039748,0.57124,0.001601,0.17191,0.001718,0.040756,0.001354,0.062794,0.003005,0.021214,0.0017,0.027411,0.001291,0.029628,0.001406,0.034725,0.001038,0.576714,0.001716,0.069423,0.003947,0.03023,0.000905,0.182142,0.000619,0.576509,0.00037,0.0,0.0
minus_energy_barrier_check,8,80,0.64375,0.043387,0.696084,0.040804,0.571521,0.001411,0.172264,0.00198,0.041507,0.00154,0.062607,0.003118,0.021352,0.001903,0.027494,0.001616,0.028388,0.001142,0.033994,0.001085,0.574817,0.001576,0.069711,0.004077,0.030293,0.000785,0.182424,0.000649,0.576466,0.000455,0.0,0.0
minus_energy_barrier_check,9,80,0.647917,0.042701,0.701868,0.040637,0.572653,0.001658,0.173207,0.00189,0.041102,0.001518,0.062509,0.00319,0.021437,0.00164,0.027815,0.001436,0.029591,0.001224,0.034681,0.000989,0.576202,0.001801,0.069429,0.004012,0.030439,0.000894,0.182101,0.000717,0.576408,0.000408,0.0,0.0
minus_fixed_risk_acceptor,0,80,0.677083,0.04362,0.723007,0.042138,0.560694,0.001471,0.179012,0.001818,0.047663,0.001433,0.057428,0.00221,0.03766,0.002242,0.031966,0.001609,0.033057,0.001237,0.039061,0.000923,0.559833,0.00166,0.02621,0.001054,0.064468,0.000835,0.172281,0.000762,0.4673,0.000515,0.0,0.0
minus_fixed_risk_acceptor,1,80,0.647917,0.043094,0.694597,0.041955,0.559812,0.001664,0.179861,0.001654,0.047038,0.001629,0.058284,0.002279,0.0378,0.00228,0.03271,0.00144,0.034089,0.001158,0.039439,0.001047,0.558273,0.001805,0.026453,0.001063,0.065243,0.000882,0.172574,0.000651,0.467028,0.000509,0.0,0.0
minus_fixed_risk_acceptor,2,80,0.679167,0.04417,0.723024,0.042209,0.55934,0.001452,0.179947,0.001789,0.047373,0.001653,0.058473,0.002378,0.036762,0.002352,0.03306,0.001447,0.034604,0.001189,0.039454,0.001017,0.558467,0.001613,0.026578,0.001157,0.065347,0.000916,0.172392,0.000552,0.467119,0.000489,0.0,0.0
minus_fixed_risk_acceptor,3,80,0.620833,0.046115,0.667679,0.044997,0.559938,0.001521,0.180147,0.00184,0.046723,0.001633,0.058454,0.002394,0.037694,0.002352,0.034035,0.001501,0.034396,0.001193,0.039943,0.001055,0.558975,0.001888,0.026339,0.001046,0.065491,0.00082,0.173259,0.000742,0.466929,0.000496,0.0,0.0
minus_fixed_risk_acceptor,4,80,0.641667,0.043525,0.688773,0.042288,0.561252,0.001555,0.179295,0.001698,0.047599,0.001478,0.057564,0.002436,0.037405,0.00229,0.033595,0.001423,0.034285,0.001286,0.039118,0.000962,0.557913,0.00159,0.026031,0.001094,0.064425,0.000885,0.172692,0.00069,0.466962,0.000491,0.0,0.0
minus_fixed_risk_acceptor,5,80,0.641667,0.039882,0.689418,0.038954,0.56062,0.001533,0.180701,0.001695,0.047804,0.001312,0.058272,0.00232,0.037502,0.002481,0.032726,0.001377,0.034034,0.001277,0.039333,0.001076,0.558455,0.001704,0.026305,0.001234,0.065329,0.000853,0.172085,0.00063,0.467087,0.000495,0.0,0.0
minus_fixed_risk_acceptor,6,80,0.620833,0.039829,0.669052,0.03918,0.56041,0.001269,0.180367,0.001774,0.047368,0.001648,0.058118,0.002375,0.037879,0.00235,0.032817,0.001369,0.033687,0.001222,0.039206,0.000983,0.558081,0.001579,0.026225,0.001115,0.065748,0.000838,0.172468,0.000624,0.467026,0.000468,0.0,0.0
minus_fixed_risk_acceptor,7,80,0.616667,0.042066,0.664246,0.040951,0.561337,0.001359,0.179974,0.001698,0.047287,0.001443,0.058291,0.002244,0.03855,0.002271,0.031983,0.001331,0.034072,0.00136,0.039713,0.000941,0.557898,0.001935,0.027286,0.001363,0.064922,0.000891,0.1723,0.000659,0.466967,0.000476,0.0,0.0
minus_fixed_risk_acceptor,8,80,0.672917,0.047723,0.716679,0.045835,0.561796,0.001544,0.179283,0.001435,0.047221,0.00164,0.058395,0.002296,0.037512,0.002309,0.032594,0.001506,0.034283,0.001142,0.040269,0.000979,0.557819,0.001804,0.026102,0.001178,0.065294,0.000911,0.172317,0.000716,0.46704,0.000503,0.0,0.0
minus_fixed_risk_acceptor,9,80,0.622917,0.041395,0.670892,0.040696,0.559931,0.001576,0.180048,0.001625,0.048325,0.001649,0.057984,0.002278,0.037398,0.002253,0.033305,0.001462,0.034412,0.001217,0.039621,0.000977,0.558075,0.001731,0.026268,0.001249,0.06626,0.00081,0.172519,0.000623,0.466991,0.000506,0.0,0.0
